order_hint,url,title,description,document_type,source,es_score,current_score,confidence,p1_keep,p2_keep,p1_reason,primary_topic,seed_label,content_hash,govuk_link,label,rationale
1,https://www.gov.uk/government/speeches/financial-secretarys-speech-to-the-charity-finance-group,Financial Secretary's speech to the Charity Finance Group,,speech,both,0.0013565356,0.0,Wrong sense,0,,"The page discusses tax policies and reliefs for charities, not probate-specific policies, procedures, and rules.",Tax relief policies for charities,,093046f194f5074a3028385001922eed3ea59010e104b096dec2faedc4884c1d,https://www.gov.uk/government/speeches/financial-secretarys-speech-to-the-charity-finance-group,,
2,https://www.gov.uk/government/publications/disguised-remuneration-settlement-terms-2020,Disguised remuneration settlement terms 2020,,guidance,search,0.006143471,0.0,Wrong sense,0,,"The page is about settling tax liabilities in disguised remuneration schemes, not about probate-specific policies, procedures, or rules.",Disguised remuneration scheme settlement guidance,,805bd18cb29202cf644ab018c3cfb6b3220f39d7a3e9e82a338d011b26d64253,https://www.gov.uk/government/publications/disguised-remuneration-settlement-terms-2020,,
3,https://www.gov.uk/government/publications/agent-update-issue-146/issue-146-of-agent-update,Issue 146 of Agent Update,,guidance,both,0.005367663,0.55,Discussed a moderate amount,1,1,"Page contains multiple passages about probate-specific rules and procedures, particularly regarding excepted estates, IHT reporting requirements, and when to submit IHT400 forms, representing a moderate portion of the content.",Tax and inheritance tax updates for agents,should_include,6c92d1f366f3f88c7514ab589fb2b58be8660e346357010fa1dad1e41fa88662,https://www.gov.uk/government/publications/agent-update-issue-146/issue-146-of-agent-update,,
4,https://www.gov.uk/government/publications/hm-revenue-and-customs-trusts-and-estates-newsletters/hmrc-trusts-and-estates-newsletter-march-2024,HMRC Trusts and Estates Newsletter: March 2024,,guidance,shortlister,,0.6,Discussed a moderate amount,1,1,"The page contains multiple probate-specific procedures and rules in the body sections about applying for probate and Inheritance Tax processes, though the page is mainly a broader newsletter covering various tax changes.",HMRC Trusts and Estates Newsletter March 2024,should_include,3eabb6add367f5427ef6eb0cb42637510e1fb4b6d26a368e780527c45dd50eda,https://www.gov.uk/government/publications/hm-revenue-and-customs-trusts-and-estates-newsletters/hmrc-trusts-and-estates-newsletter-march-2024,,
5,https://www.gov.uk/government/publications/inheritance-tax-guaranteed-annuity-calculator,Inheritance Tax guaranteed annuity calculator,Use this calculator to help you work out an estimated market value of guaranteed annuity payments when valuing assets of the deceased’s estate.,guidance,both,0.032909736,0.7,Major focus,1,1,"The page relates to probate procedures by providing a calculator tool for valuing estate assets and instructions to attach results to the IHT400 form, which is a probate-specific document.",Inheritance Tax guaranteed annuity calculator tool,should_include,4d0438ce857194bf0319cacbe8d09eb6215323d87c7866b0cf5c9483ca46cbe1,https://www.gov.uk/government/publications/inheritance-tax-guaranteed-annuity-calculator,,
6,https://www.gov.uk/government/publications/capital-taxation-and-tax-exempt-heritage-assets/guidance-on-capital-taxation-and-the-national-heritage,Guidance on capital taxation and the national heritage,,guidance,shortlister,,0.8,Major focus,1,1,"The page is substantially about probate-specific policies, procedures and rules for Inheritance Tax reliefs on national heritage property, including claims processes, undertakings, monitoring, and conditional exemption arrangements.",Inheritance Tax reliefs and procedures for national heritage property,should_include,f314edec397a8793023465abcad6b45e9d396a7acc2c538e4d02f8a23a3812ff,https://www.gov.uk/government/publications/capital-taxation-and-tax-exempt-heritage-assets/guidance-on-capital-taxation-and-the-national-heritage,,
7,https://www.gov.uk/government/publications/relief-for-gifts-and-similar-transactions-hs295-self-assessment-helpsheet/hs295-relief-for-gifts-and-similar-transactions-2025,HS295 Relief for gifts and similar transactions (2025),,guidance,both,0.0071281763,0.3,Mentioned in passing,1,0,"The page mentions probate once in a reference to the Inheritance Tax and Probate Helpline, but the page is mainly about CGT relief rules and procedures for gifts, not probate-specific policies, procedures and rules.",Capital gains tax relief for gifts and transactions,should_include,081ba6f50d53a0a5543a46cea776a99b99e978feb91163d46816150625711cca,https://www.gov.uk/government/publications/relief-for-gifts-and-similar-transactions-hs295-self-assessment-helpsheet/hs295-relief-for-gifts-and-similar-transactions-2025,,
8,https://www.gov.uk/government/publications/general-information-about-compliance-checks-ccfs1a/about-compliance-checks-ccfs1a,About compliance checks — CC/FS1a,,guidance,shortlister,,0.0,Wrong sense,0,,"The page concerns tax compliance checks by HMRC, not probate-specific policies, procedures, and rules as described in the INCLUDE topic.",HMRC compliance checks procedures and rules,,cf7a1627c66e3c3394fa10048d79e633d9b03df5d9c60335506889b7639626ca,https://www.gov.uk/government/publications/general-information-about-compliance-checks-ccfs1a/about-compliance-checks-ccfs1a,,
9,https://www.gov.uk/government/publications/follower-notices-and-accelerated-payments/follower-notices-and-accelerated-payments,Follower notices and accelerated payments,,guidance,both,0.0022112872,0.0,Wrong sense,0,,"The page concerns tax avoidance enforcement procedures and penalties, not probate-specific policies, procedures, or rules.",Follower notices and accelerated payments for tax avoidance,,96c87ece6f4e8ccc747c7c9ce972032837bd09284951e1765f9f1bd99cf143c3,https://www.gov.uk/government/publications/follower-notices-and-accelerated-payments/follower-notices-and-accelerated-payments,,
10,https://www.gov.uk/government/publications/agent-update-issue-144/issue-144-of-agent-update,Issue 144 of agent update ,,guidance,both,0.004819042,0.5,Discussed a moderate amount,1,1,"The page contains multiple sections specifically about probate-related Inheritance Tax procedures and rules, including form requirements and excepted estates reporting, though these sections comprise only part of a broader technical update document.",Technical updates and reminders for tax agents,should_include,af1ac504d55a7d7ed7d97e3a232e2217b981d128d1b16f43a603a4bb704c3880,https://www.gov.uk/government/publications/agent-update-issue-144/issue-144-of-agent-update,,
11,https://www.gov.uk/government/publications/hm-revenue-and-customs-trusts-and-estates-newsletters/hmrc-trusts-and-estates-newsletter-april-2025,HMRC Trusts and Estates Newsletter: April 2025,,guidance,shortlister,,0.65,Discussed a moderate amount,1,1,"Multiple sections cover probate and trust-specific policies, procedures and rules including TRS registration requirements, IHT form completion, personal representative procedures, and trust administration requirements.",HMRC Trusts and Estates Newsletter April 2025,should_include,1515ed4f5d77558b2a3399bf13c5d3e51d82740fc03ccf61db08c7b982703666,https://www.gov.uk/government/publications/hm-revenue-and-customs-trusts-and-estates-newsletters/hmrc-trusts-and-estates-newsletter-april-2025,,
12,https://www.gov.uk/government/publications/rates-and-allowances-hmrc-interest-rates-for-late-and-early-payments/rates-and-allowances-hmrc-interest-rates,HMRC interest rates for late and early payments,,guidance,both,0.0024458468,0.8,Major focus,1,0,"The page is primarily about HMRC interest rate policies and procedures set by legislation, including a specific section on Inheritance Tax which relates to probate matters, though probate is not the main focus of the page.",HMRC interest rates for late and early payments,should_include,9b09e2627f52b5124c04d619bb54b16c6973fd583e25af09f09dcb4e3beeb923,https://www.gov.uk/government/publications/rates-and-allowances-hmrc-interest-rates-for-late-and-early-payments/rates-and-allowances-hmrc-interest-rates,,
13,https://www.gov.uk/government/publications/hm-revenue-and-customs-trusts-and-estates-newsletters/hmrc-trusts-and-estates-newsletter-february-2026,HMRC Trusts and Estates Newsletter: February 2026,,guidance,shortlister,,0.8,Major focus,1,1,"The page extensively covers probate-specific policies, procedures and rules relating to Inheritance Tax administration, estate reporting requirements, and personal representative responsibilities in handling deceased estates.",HMRC trusts and estates tax updates and procedures,should_include,8a0d2465e64e753557b7d6a2ddaa41c1b2f049f0181157cb11be7ba066e1b98c,https://www.gov.uk/government/publications/hm-revenue-and-customs-trusts-and-estates-newsletters/hmrc-trusts-and-estates-newsletter-february-2026,,
